[2025-12-21 09:09:32] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2025-12-20
正在获取论文...
[ACM] 2025-12-20 | Data Readiness for Scientific AI at Scale
[ACM] 2025-12-20 | Hierarchical Alignment-enhanced Transformer-based Network for Image Captioning
[ACM] 2025-12-20 | Advancing Seismic Design of Steel Moment Resisting Frames through AutoSDA
[ACM] 2025-12-20 | TAPAS: Fast and Automatic Derivation of Tensor Parallel Strategies for Large Neural Networks
[ACM] 2025-12-20 | Scheduling based on Block Features for Concurrent Inference with Unseen DNN Models on GPU
[ACM] 2025-12-20 | Q-GEAR: Improving quantum simulation framework
[ACM] 2025-12-20 | LLaMCAT: Optimizing Large Language Model Inference with Cache Arbitration and Throttling
[ACM] 2025-12-20 | AN ENHANCED YOLOV11-BASED FRAMEWORK FOR REAL-TIME UNDERWATER OBJECT DETECTION
[ACM] 2025-12-20 | Low-Illumination target detection method based on Improved YOLOv11n
[ACM] 2025-12-20 | Research on Digital Phase-locked Loop of Induction Heating Power Supply Based on FPGA
[ACM] 2025-12-20 | FEDERATED L1-AND-L2-NORM-ORIENTED LATENT FACTOR MODEL FOR ANALYZING HIGH-DIMENSIONAL AND INCOM-PLETE DATA
[ACM] 2025-12-20 | Application of Symmetric Offset Voltage Compensated Sense Amplifier in DRAM
[ACM] 2025-12-20 | PID-Guided Tensor Wheel Decomposition for Link Prediction in Dynamic Networks
[ACM] 2025-12-20 | A Calibration Method for Industrial Robots Based on Regularized RNN Model
[ACM] 2025-12-20 | Federated Continual Learning: A Survey on Mitigating Spatial-Temporal Catastrophic Forgetting
[ACM] 2025-12-20 | An Improved Dynamic Multi-objective Differential Evolution based Intensity Prediction
[ACM] 2025-12-20 | Personalized English Learning Recommendation System Based on Collaborative Filtering and Student Behavior Data
[ACM] 2025-12-20 | Design of lens coupling between thin-film lithium niobate waveguide and single-mode fiber
[ACM] 2025-12-20 | Research on Damping Element Optimization Based on Machine Learning
[ACM] 2025-12-20 | Investigation into the Integration of News Text Sentiment Factors in Multi-Factor Stock Price Forecasting and Portfolio Optimization: A Case Study of the United States Stock Market
[ACM] 2025-12-20 | Research on Precise Service Models and Strategies for University Libraries Driven by Big Data
[ACM] 2025-12-20 | Comparative Trend Analysis and Machine Learning-Based Predictive Modeling of Steel Industry Indicators
[ACM] 2025-12-20 | Bayesian Change Point Detection in Financial Time Series: Evidence from the Hong Kong Stock Market
[ACM] 2025-12-20 | Exploring Nonlinear Driving Mechanism of Urban System Resilience in Rapidly Urbanizing Shenzhen via Interpretable Machine Learning Models
[ACM] 2025-12-20 | PHEM: A Computational Model for Designing Parallel Algorithms for Very Large Graphs
[ACM] 2025-12-20 | SpeedSketch: An Ultra-Fast Sketch Generation and Delta Encoding Framework for Delta Compression
[ACM] 2025-12-20 | Conjoint Message-passing Graph Representation Learning for Hypertension Comorbidity Risk Prediction
[ACM] 2025-12-20 | Artificial Intelligence-driven Enterprise Human Resource Recruitment Optimisation System Design
[ACM] 2025-12-20 | Minimizing CGYRO HPC Communication Costs in Ensembles with XGYRO by Sharing the Collisional Constant Tensor Structure
[ACM] 2025-12-20 | Machine Learning-Based Pair Trading Strategy for Stock Market
[ACM] 2025-12-20 | Unmanned Vehicle Dynamics Model Integrating Lateral, Longitudinal, and Yaw Motions with MPC Trajectory Tracking Algorithm
[ACM] 2025-12-20 | Workshop Proceedings of the 54th International Conference on Parallel Processing
[ACM] 2025-12-20 | Hardware-aware Graph Partition for Mobile Inference Acceleration
[ACM] 2025-12-20 | A Grassroots Network and Community Roadmap for Interconnected Autonomous Science Laboratories for Accelerated Discovery
[ACM] 2025-12-20 | Node-Adaptive Hypergraph Attention Network with Structural Embedding for Enterprise Credit Risk Prediction
[ACM] 2025-12-20 | Design and Application of a Pipeline Leakage Detection Model Based on Machine Learning
[ACM] 2025-12-20 | A New Method for Solving the 0-1 Knapsack Problem Based on Discrete Snake Optimization Algorithm
[ACM] 2025-12-20 | Auto-Stencil: Performance-Driven Stencil Optimization with Hardware Feedback for LLMs
[ACM] 2025-12-20 | Optimizing Incomplete Cholesky Factorization on MIMD Many-core Architecture
[ACM] 2025-12-20 | Risk Assessment of Intelligent Unmanned Vehicle Urban Logistics Distribution
[ACM] 2025-12-20 | D3QN-Based Multi-Hop Offloading in Vehicular Networks
[ACM] 2025-12-20 | Enhancing Stock Price Prediction with GLTCN: A Hybrid Model for Complex Market Dynamics
[ACM] 2025-12-20 | An Improved PBFT Consensus Algorithm for Blockchain Systems
[ACM] 2025-12-20 | Study on Sensitivity Uniformity of Sagnac Fiber-Optic Acoustic Sensor Based on Numerical Compensation
[ACM] 2025-12-20 | Design of intelligent manufacturing system based on digital twin
[ACM] 2025-12-20 | Early Prediction Model for College Students Psychological Crisis Based on Temporal Contrastive Learning
[ACM] 2025-12-20 | Restoring NIR-II Molecular Images with an Efficient Tensor Network
[ACM] 2025-12-20 | Application of Apriori Improved Algorithm in Intelligent Accounting
[ACM] 2025-12-20 | Research on Enterprise Financial Risk Warning Model Based on Big Data Analysis
[ACM] 2025-12-20 | Latent Factorization of Tensors with Threshold Distance Weighted Loss for Traffic Data Estimation
[ACM] 2025-12-20 | Blockchain-Carbon Neutrality Synergy in Freight Collaboration: An Evolutionary Game Model with Complex Networks and Reinforcement Learning
[ACM] 2025-12-20 | MRText: A Three-Stage Framework for Privacy-Preserving Text Classification
[ACM] 2025-12-20 | XAIPath: Temporal-Environmental Explainable AI Framework for Co-Contaminated Food Pathogen Detection in Microscopic Imaging
[ACM] 2025-12-20 | Analysis of Warm-Up Effects in GPU Memory Management
[ACM] 2025-12-20 | Deadline-Aware Scheduling of Mixed-Criticality Tasks
[ACM] 2025-12-20 | UAV Aerial Image Target detection based on improved YOLOv11
[ACM] 2025-12-20 | Deep Learning-Driven Sustainable Design for Urban Historical and Cultural District Revitalization Based on UNdata Environment Datasets
[ACM] 2025-12-20 | Ventilation and air conditioning duct diameter optimization Based on Numerical Simulation
[ACM] 2025-12-20 | Auto Loan Defaults: Predictive Modeling and Key Drivers
[ACM] 2025-12-20 | An Empirical Study on the Impact of Artificial Intelligence Applications on High-Quality Agricultural Development in the Context of Big Data
[ACM] 2025-12-20 | Optimization Method for Cost-Effectiveness-Oriented Scheduling in Aerospace Test Launch Processes
[ACM] 2025-12-20 | AI Based Financial Text Classification Optimizing Annual Report Risk Identification with BERT Model
[ACM] 2025-12-20 | Unveiling the Carbon Mitigation Pathways of Big Data Pilots: A Double Machine Learning DlD Analysis on Green Innovation and Energy Efficiency
[ACM] 2025-12-20 | How Cross-Departmental Collaboration Structures Mitigate Cross-Border Compliance Risks: Network Causal Inference Based on ManpowerGroup's Staffing Projects
[ACM] 2025-12-20 | Evolutionary Modeling and Simulation of Marital Games: A Q-learning Approach Based on the Stag Hunt Game
[ACM] 2025-12-20 | ParEval-Repo: A Benchmark Suite for Evaluating LLMs with Repository-level HPC Translation Tasks
[ACM] 2025-12-20 | Fast and Scalable Mixed Precision Euclidean Distance Calculations Using GPU Tensor Cores
[ACM] 2025-12-20 | Optimizing Large Language Model Deployment with TVM: Overcoming Dynamic Shape and Scheduling Challenges
[ACM] 2025-12-20 | CompressRA+: Enhanced Register Allocation for Compressed ISAs
[ACM] 2025-12-20 | Sparsity-aware Kernel Selection for Edge-Connected Jaccard Similarity in Graph Datasets
[ACM] 2025-12-20 | Non-destructive Testing and Reconstruction Method for Reinforcement Structure of Concrete Utility Poles Based on Deep Learning
[ACM] 2025-12-20 | Improving GUI Element Detection with a Refined YOLO11-Based Approach
[ACM] 2025-12-20 | Leveraging Machine Learning and Data Mining Techniques for Predictive Analytics in Supply Chain Logistics Management
[ACM] 2025-12-20 | Two-dimensional DOA Estimation and Simulation with L-shaped Array Based on Matrix Enhanced and Matrix Pencil
[ACM] 2025-12-20 | RESEARCH ON A FEAMEAL MENSTRUAL CYCLE MANAGEMENT APP BASED ON KANO MODEL
[ACM] 2025-12-20 | Multi-Model Approach for Stock Price Prediction and Trading Recommendations
[ACM] 2025-12-20 | S-DCGAN Driving a Large Model of Gas Safety Innovation and Application of Data Synthesis Technology
[ACM] 2025-12-20 | HUMAN-MACHINE VISUALIZATION AND CONFIGURATION TECHNOLOGIES FOR ELECTRICITY MARKET TRANSACTIONS
[ACM] 2025-12-20 | Design of an intelligent management system for sports venues based on Internet of Things technology
[ACM] 2025-12-20 | Spatio-temporal Attention-Time Series Indoor Localization Method Based on CSI
[ACM] 2025-12-20 | Analysis of the Impact Factors on Electrical Accidents Based on Machine Learning Algorithms
[ACM] 2025-12-20 | Prediction of cement-based mortar compressive strength based on machine learning: Research and Application
[ACM] 2025-12-20 | AMPED: Accelerating MTTKRP for Billion-Scale Sparse Tensor Decomposition on Multiple GPUs
[ACM] 2025-12-20 | Application of Big Data and Machine Learning in Environmental Public Participation Behavior Analysis
[ACM] 2025-12-20 | Bearing fault diagnosis based on VMD-CNN-BiGRU-Attention
[ACM] 2025-12-20 | Research on Investment Risks and Stakeholders of Highways Based on SNA
[ACM] 2025-12-20 | Combining multiple machine learning algorithms to build a diagnostic model for colorectal cancer
[ACM] 2025-12-20 | P3P-Fed: Peer-to-Peer Personalized Federated Learning with DHT-based Local Clustering
[ACM] 2025-12-20 | Design and Optimization of GPU-Aware MPI Allreduce Using Direct Sendrecv Communication
[ACM] 2025-12-20 | Carbon-Aware Workflow Scheduling with Fixed Mapping and Deadline Constraint
[ACM] 2025-12-20 | Research on Optimization of Smart Elderly Care Community Service Design Based on TTM Model
[ACM] 2025-12-20 | Remote Sensing Image Classification based on Knowledge Distillation
[ACM] 2025-12-20 | Loan Default Prediction Using CTGAN-MLP
[ACM] 2025-12-20 | Low-observable Geometric Structure Design of Screw Slot
[ACM] 2025-12-20 | Intelligent Offloading in UAV–LEO Hybrid Edge Networks Using Multi-Agent
[ACM] 2025-12-20 | Evaluating Fine-Tuned GPT-4o on Gravitational Wave Literature Through Cross-Model QA Benchmarking
[ACM] 2025-12-20 | Longitudinal Analysis of EEG Microstate Alterations Induced by Cumulative Fatigue from Consecutive Day-Long Tasks
[ACM] 2025-12-20 | Research on High-Performance Fusion Computing Technology for Large-Scale Time-Series and Relational Data
[ACM] 2025-12-20 | Provenance Tracking in Large-Scale Machine Learning Systems
[ACM] 2025-12-20 | Research on the construction of entrepreneurship incubation base in colleges and universities in Guangdong: An Efficiency Evaluation and Resource Allocation Optimization Model Based on Artificial Intelligence
[ACM] 2025-12-20 | Proceedings of the 2025 International Symposium on Machine Learning and Social Computing
[ACM] 2025-12-20 | Proceedings of the 54th International Conference on Parallel Processing
[ACM] 2025-12-20 | Cross-Architecture Performance Analysis Using the RAJA Performance Suite
[ACM] 2025-12-20 | COF:Cycle and transmission co-mapping framework for CNN mapping in PIM architecture
[ACM] 2025-12-20 | Research on the design and practice of human-machine collaborative innovation of Yao clothing pattern based on Lora technology
[ACM] 2025-12-20 | Research on Power System Signal Denoising Method Based on Optimized Wavelet Thresholding
[ACM] 2025-12-20 | E-commerce Demand Forecasting Based on Considering Hysteresis BiLSTM-Attention Model
[ACM] 2025-12-20 | Active Learning-Driven Fine-Grained Sentiment Analysis for Small Food Delivery Businesses with Minimal Annotations
[ACM] 2025-12-20 | HeatList: The Case for Retrofitting In-memory Range Index with Hotspot Awareness
[ACM] 2025-12-20 | Federated Graph Learning-Based Dynamic Modeling of Risk Correlation Networks Among Financial Institutions
[ACM] 2025-12-20 | Q-GEAR: Improving quantum simulation framework
[ACM] 2025-12-20 | SC-Diff: Semantic-Collaborative Diffusion for Multi-Class Anomaly Detection
[ACM] 2025-12-20 | On-line Inspection Method of Vapor Quality in Tobacco Drying Process and Application Research
[ACM] 2025-12-20 | AN INTELLIGENT METHOD FOR GENERATING DATA SECURITY ACCESS CONTROL POLICIES
[ACM] 2025-12-20 | PISCES:Push-Pull Hybrid Optimization for Graph Pattern Matching
[ACM] 2025-12-21 | Sentiment and Stance Classification on Climate Change Tweets Using Fine-Tuned BERT Models
[ACM] 2025-12-20 | AI Assistants to Enhance and Exploit the PETSc Knowledge Base
[ACM] 2025-12-20 | An LLM-enabled Workflow for Understanding and Evolving HPC Scheduling Practices
[ACM] 2025-12-20 | Application of Wireless Information and Power Transfer Technology in Public Security IoT for Cultivating Digital Intelligent Police Talents
[ACM] 2025-12-20 | Multi-Head Attention-Enhanced TCN-CNN for Intelligent Bearing Fault Diagnosis Under Complex Operating Conditions
[ACM] 2025-12-20 | Innovative Design Research on Hero Character Creation in Animated Shorts Assisted by Generative AI
[ACM] 2025-12-20 | A High-Accuracy Sketch for Measuring Low-Entropy Flows in Distributed AI Training
[ACM] 2025-12-20 | FedNova-Adaptive-based Cross-Jurisdictional Anti-Money Laundering Federated Diagnostic Framework
[ACM] 2025-12-20 | MULTISCALE ATTENTION-ENCHANCED YOLO: A HIERARCHICAL FEATURE FUSION FRAMEWORK FOR UAV OBJECT DETECTION IN LOW-ILLUMINATION ENVIRONMENTS
[ACM] 2025-12-20 | Python based simulation of Fraunhofer diffraction phenomenon
[ACM] 2025-12-20 | Discovery of Folk Literature Knowledge and Metadata Mining——Based on R Programming Language Bibliometrix Package
[ACM] 2025-12-20 | Graphene-Based Pressure Sensors: Enhancing Sensitivity and Stability for Complex Applications
[ACM] 2025-12-20 | QSCnn-FCNet with Multimodal Feature Fusion for Wind Turbine Rolling Bearing Fault Diagnosis
[ACM] 2025-12-20 | Artificial Intelligence Algorithm Driven Research—Taking the Innovation Path of Environmental Art Design Classroom as an Example
[ACM] 2025-12-21 | Exploring Feature Ambiguity in TBI Diagnosis Using Missing Aware Machine Learning Models
[ACM] 2025-12-20 | Technical Practice and Application of Data Governance in Military Exercise and Training Data Management
[ACM] 2025-12-20 | A Method for Fine-Grained Sentiment Analysis with Dynamic Weight Fusion Integrating Random Forest
[ACM] 2025-12-20 | Enhanced LSTM Architecture with Multi-Head Attention Mechanism for Structural Break Detection in Financial Time Series
[ACM] 2025-12-20 | Product Demand Forecasting Model Based on BKA-Optimized Transformer-LSTM
[ACM] 2025-12-20 | Efficient Parallel Algorithms for Dynamic Percolation Centrality
[ACM] 2025-12-20 | Architecture-Aware Models of AI Engines for High-Performance Matrix Matrix Multiplication
[ACM] 2025-12-20 | FedWCM: Unleashing the Potential of Momentum-based Federated Learning in Long-Tailed Scenarios
[ACM] 2025-12-20 | SpiderCache: Semantic-Aware Caching Strategy for DNN Training
[ACM] 2025-12-20 | ZTP: A Scalable and Lightweight Privacy-Preserving Blockchain via Scale-Free Quorums and Geometric Fragmentation
[ACM] 2025-12-20 | A study on the deep analysis and optimization strategy of teaching effect of Marx's principle in college students based on Transformer algorithm
[ACM] 2025-12-20 | Classroom Behavior Recognition and Clustering Using Enhanced Swin Transformer
[ACM] 2025-12-20 | Predicting potential miRNA-drug associations using a hierarchical metapath-aware graph autoencoder
[ACM] 2025-12-20 | PONS: A Novel Task Offloading Approach for Structured Applications in Vehicular Edge Computing
[ACM] 2025-12-20 | Support SIMD Optimization with Post Quantum Cryptography Validation on Move Language
[ACM] 2025-12-20 | HARVEST Inference: Characterizing Digital Agriculture Workloads across Compute Continuum
[ACM] 2025-12-20 | Improved YOLO11n-based Human-vehicle Small Target Detection Model
[ACM] 2025-12-20 | Applications of Machine Learning in Supply Chain Management: A Forecasting and Optimization Perspective
[ACM] 2025-12-20 | Mining User Psychological Characteristics and Supply Chain Decision Support Based on Multimodal Sentiment Analysis Model
[ACM] 2025-12-20 | Impact of Driver's Perceptual Quirk of Velocity on Traffic Dynamics and Safety in Fog Weather
[ACM] 2025-12-20 | Bridging Cache-Friendliness and Concurrency: A Locality-Optimized In-Memory B-Skiplist
[ACM] 2025-12-20 | Heterogeneity-aware Task Scheduling based on Personalized Federated Reinforcement Learning
[ACM] 2025-12-20 | Research on the simulation of BLDC control system based on extended Kalman observer
[ACM] 2025-12-20 | Predicting Traffic Accident Severity During Peak Hours Using Machine Learning
[ACM] 2025-12-20 | Design and Evaluation of a Multimodal Perception-Driven AI and AR Converged Female Family Rehabilitation System
[ACM] 2025-12-20 | Design of Error Amplifier with Clamp Circuit for Buck DC-DC Converter
[ACM] 2025-12-20 | Visualization and Analysis of Pelvic Floor Magnetic Stimulation Studies Based on Web of Science
[ACM] 2025-12-20 | Exploring Influencing Factors of Carbon Emissions and Multi-Scenario Projection of Carbon Peak in Yunnan Province
[ACM] 2025-12-20 | Amber: Towards Fast and Space-Efficient Incremental Checkpointing in Large Language Model Training
[ACM] 2025-12-20 | Hierarchical Reward Function Design for Autonomous Driving Based on Reinforcement Learning
[ACM] 2025-12-20 | Federated Learning for Text Classification: Reflections on Model Selection and Data Distribution
[ACM] 2025-12-20 | Enhancing Ideological and Political Education Engagement among Students with Learning Disabilities through Artificial Intelligence and Virtual Reality: A K-Means-Based Study
[ACM] 2025-12-20 | STEP: Software Tools Ecosystem Project
[ACM] 2025-12-20 | Residential Environment Design for the Elderly Based on PSO-LSTM
[ACM] 2025-12-20 | Multi-target Detection and Classification via an Integration Learning Network based on Enhanced RepViT
[ACM] 2025-12-20 | MM-PSFM: A Multimodal Multi-Task Model for Short-Term Precipitation Forecasting
[ACM] 2025-12-20 | Research on PM2.5 Concentration Prediction Model Based on DBO-BiLSTM
[ACM] 2025-12-20 | RESEARCH ON MPC-BASED TRAJECTORY TRACKING FOR AGRICULTURAL ROBOTS
