[2026-03-30 22:36:38] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-03-29
正在获取论文...
[ACM] 2026-3-30 | Trilinos: Enabling Scientific Computing Across Diverse Hardware Architectures at Scale
[ACM] 2026-3-30 | A Systematic Literature Review on How Cybercriminals are Utilizing Deepfakes to Conduct Cyberattacks
[IEEE] 2026-3-30 | Unified Multimodal Representation Learning With Prototype Calibration for Cross-Subject Few-Shot Emotion Recognition
[IEEE] 2026-3-30 | CRIXP: Cultural Knowledge Representation for Inherent eXPlainability
[IEEE] 2026-3-30 | Segment-wise Joint Pose and Parametric Geometry Estimation for Multi-Part Quasi-Conical and Cylindrical Objects
[IEEE] 2026-3-30 | FedMeld: A Model-Dispersal Federated Learning Framework for Space-Ground Integrated Networks_supp1-3647858.pdf
[IEEE] 2026-3-30 | Argus: 3D Radar Point Cloud Registration Using Complementary Cameras for Infrastructure-Assisted Autonomous Driving
[IEEE] 2026-3-30 | Two-Stage Variable Universe Fuzzy Model-Free Sliding Mode Control of Permanent Magnet Synchronous Motor Based on Double-Power-Combination Reaching Law
[IEEE] 2026-3-30 | Explainable Detection of False Promotions for Digital Collectibles: A Visual Language Attention Analysis Framework
[IEEE] 2026-3-30 | How Accurate Should Prediction Be for Connected Autonomous Vehicles at Blind Intersections?
[IEEE] 2026-3-30 | ConSSAC: Conservative Sigmoidal Soft Actor-Critic for Offline Dialogue Policy Optimization
[IEEE] 2026-3-30 | Lift-Augmentation Aware Backstepping Control for an Underactuated Bird-Scale Flapping Wing Vehicle_supp1-3678452.mp4
[IEEE] 2026-3-30 | G-MAPP: GPU-accelerated Multi-Agent Planning and Perception for Reactive Motion Generation
[IEEE] 2026-3-30 | A Low-Latency MTPA Control Strategy Based on Dual Virtual Signal Injection for IPMSM
[IEEE] 2026-3-30 | ARM-Powered Chaotic PWM: A Simplified Solution for EMI Reduction in High-Gain DC–DC Converters
[IEEE] 2026-3-30 | Information Experience: The Strategy and Tactics of Design Thinking: Craig Baehr: [Book Review]
[IEEE] 2026-3-30 | Revolutionizing Healthcare with Quantum Computing: Bridging Innovation and Practical Challenges
[IEEE] 2026-3-30 | Interpretable CESM Channel Weighting: Policy-Guided Fusion of Low-Energy and Recombined Images for Microcalcification Detection
[IEEE] 2026-3-30 | Hybrid ML Models for Anticipating Glucose Fluctuations
[IEEE] 2026-3-30 | A LNA Optimization for Higher Gain and Low Noise Figure Using PSO Algorithm for IoT Applications
[IEEE] 2026-3-30 | Presentation Attack Detection Using Fingerprint Image by Efficient Ensemble Stacking Method (EESM)
[IEEE] 2026-3-30 | The Influence of Media Reporting on Public Perception of Justice: A Case Study on Sub-Judice Criminal Cases and the Need for Media Accountability
[IEEE] 2026-3-30 | Results and Analysis of Deep Neural Network Based Video Compression Algorithms
[IEEE] 2026-3-30 | A ResNet Transformer Hybrid Approach for Enhanced Detection of Retinal Diseases
[IEEE] 2026-3-30 | TinyEdge Based IoT-enabled Real Time Turbidity Monitoring System Using Image Processing Techniques
[IEEE] 2026-3-30 | IRIS 1 GW Superconducting Line: Phase Transition Analysis and Identification of Preliminary Requirements for the Protection System
[IEEE] 2026-3-30 | Over-the-Air Computation on Network Edge for Collaborative Estimation
[IEEE] 2026-3-30 | Reliability-Based Design and Control of Crystallization Systems Under Parametric and Process Uncertainties
[IEEE] 2026-3-30 | 6G SDVN: UAV-Assisted VANETs for AI-Enabled Controller Selection and Heterogeneous Multi-Band Connectivity
[IEEE] 2026-3-30 | Scalable and Distributed Systems for High performance computing
[IEEE] 2026-3-30 | Navigating the Competence Paradox: Student Engagement with AI, Ethics, and Educational Equity in Higher Education
[IEEE] 2026-3-30 | ScribeLight for Enhancing Student Engagement and Comprehension of Video-Based Learning Using a Conversational AI System
[IEEE] 2026-3-30 | Blockchain's Role in Redefining the Fintech Ecosystem: Current Trends and Future Prospects
[IEEE] 2026-3-30 | AI Document Search Chatbot Using Retrieval-Augmented Generation (RAG)
[IEEE] 2026-3-30 | Intelligent Soil Nutrient Management Using Ensemble Machine Learning for Site-Specific Fertilizer Recommendation
[IEEE] 2026-3-30 | WELLUS: An Intelligent Dietary Management System Using OCR, Adaptive Monitoring, and Explainable AI
[IEEE] 2026-3-30 | Author Index
[IEEE] 2026-3-30 | Applying the Use of an Energy Storage Device with Solar Energy Systems to Improve the Performance of the Electrical Energy System in Iraq
[IEEE] 2026-3-30 | Design and Implementation of a Coordinated Protection Scheme for a Modern $220 / 500 \text{kV}$ Power Plant
[IEEE] 2026-3-30 | Analysis of FinFET Based 10T SRAM Cell for IoT Based Devices
[IEEE] 2026-3-30 | Multimodal Underwater Object Detection and Segmentation Using MOUD (RGB + LiDAR) Point-Cloud Dataset
[IEEE] 2026-3-30 | FIF-YOLO: Feature-Interactive Detection Framework for Traffic Signs in Complex Road Environments
[IEEE] 2026-3-30 | PSO and ACO-Optimized Cascade PI Control of DC-DC Buck-Boost Converter for High-Performance DC Machine Speed Regulation in Mecha-Electrical Wind Pumping Systems
[IEEE] 2026-3-30 | Proceedings
[IEEE] 2026-3-30 | Emphasizing the Importance of Storage in Solar PV System: A Case Study
[IEEE] 2026-3-30 | Predictive Modeling For Crop and Fertilizer Selection Based On Soil Characteristics
[IEEE] 2026-3-30 | Experimental and Numerical Evaluation of the Thermal Performance of Parallel Tube Type Solar Collector (PLTSC) Under the Influence of MWCNT-Based Hybrid Nanofluid
[IEEE] 2026-3-30 | Design of GNRFET-Based Quaternary Flip-Flops and Counters with Comparative Analysis against Ternary Multi-Valued Sequential Logic
[IEEE] 2026-3-30 | Real Time Deepfake Detection in Live Video Streams
[IEEE] 2026-3-30 | BAG-HRF: A Bayesian Attack Graph-Based Honeypoint Recommendation Framework
[IEEE] 2026-3-30 | Artificial Intelligence for Transgender Community: En route to a Mental Health Support System
[IEEE] 2026-3-30 | Advanced MSOGI Virtual Impedance Control for Power-Sharing Improvement in Standalone Microgrids
[IEEE] 2026-3-30 | Characterization of PMU Delay Time: Standard Approaches and On-Line Metric Validation
[IEEE] 2026-3-30 | IEEE Transactions on Electron Devices Publication Information
[IEEE] 2026-3-30 | Design and Experimental Validation of a Solid-State Pulse Generator With 12-kV, 120-A Output for Switched-Oscillator Excitation
[IEEE] 2026-3-30 | Measurement of Touchdown Bearing Installation Position Deviation Based on an Inductance Model
[IEEE] 2026-3-30 | An Adaptive Spatio-Temporal Deep Learning Algorithm for Indoor Positioning with MIMO-OFDM Systems
[IEEE] 2026-3-30 | Fixed-Time ADRC for Enhanced Load Frequency Regulation of Interconnected Power System
[IEEE] 2026-3-30 | A Daily Drought Index Integrating GNSS Precipitable Water Vapor and Precipitation Observables
[ACM] 2026-3-30 | Harnessing Pre-Course Aptitude Tests to Predict Performance on an Introductory Programming Assessment in Higher Education
[IEEE] 2026-3-30 | Adaptive Energy Management for Grid-Connected EV Charging Stations Using Solar PV and Battery Storage
[IEEE] 2026-3-30 | Fusion-Based Feature Extraction and Lightweight Deep Learning for Pigeon Pea Leaf Disease Detection with Compartative Classifier Analysis
[IEEE] 2026-3-30 | From Urban Data to Safer Cities: Predicting and Preventing Crime Using Digital Shadows
[IEEE] 2026-3-30 | Real-Time Multi-User Authentication Using Mouse Dynamics Behavioural Biometrics
[IEEE] 2026-3-30 | Performance Comparison of Cutting-Edge Deep Learning Architectures for DDoS Attack Detection on Large-Scale Network Data
[IEEE] 2026-3-30 | Multimodal Fake News Detection Using OCR and Image Captioning with Semantic Similarity Assessment
[IEEE] 2026-3-30 | Analysis of Analog Characteristics of Junctionless Nanowire Gate-All-Around MOSFETs based Food Analyte Biosensors
[IEEE] 2026-3-30 | A New Era of Artificial Intelligence to Examine Algorithmic Discrimination for Social, Healthcare and Legal System Among Transgender Individuals
[IEEE] 2026-3-30 | Deep Learning Based Animal Detection with Integrated Behavioral and Danger Analysis
[IEEE] 2026-3-30 | An Explainable Artificial Intelligence Framework for Breast Cancer Detection Using Optuna-Optimized Logistic Regression
[IEEE] 2026-3-30 | Students' Perceptions of Baamboozle as a Game-based Learning Platform in Enhancing Students' Engagement and Motivation in EFL Classroom
[IEEE] 2026-3-30 | Smart IoT enabled Remote Elderly Care Framework Leveraging Edge Computing
[IEEE] 2026-3-30 | AI-Driven Multi-Criteria Material Selection and Safety Analysis for Sustainable Building Design in India
[IEEE] 2026-3-30 | Integrating RNA Secondary Structure with Graph Neural Networks for Accurate mRNA Subcellular Localization
[IEEE] 2026-3-30 | Practical Field of Bangladesh Modern Applications: Encrypting Parameters &amp; Values without CSRF and Ensuring Validation Protection
[IEEE] 2026-3-30 | Hybrid RegNet-Swin Transformer for Precision Gastrointestinal Disease Classification A Deep Learning Approach Using the Kvasir Dataset
[IEEE] 2026-3-30 | Interpretable Deep Learning Framework for Electroencephalography-Based Language Decoding
[IEEE] 2026-3-30 | Mitigating Backdoor Attacks via Attention Head Pruning
[IEEE] 2026-3-30 | Simplification of Detailed Battery Energy Storage Device Model for Power System Stability Calculations
[IEEE] 2026-3-30 | Agentic AI in DevOps: Boosting Software Automation and Collaboration
[IEEE] 2026-3-30 | Machine Learning Driven Prediction of Antenna Reflection Coefficients (S11) from Geometric Parameters
[IEEE] 2026-3-30 | Research on the Influence of Conscious and Subconscious Goals on Higher-Order Learning in Gamification in Higher Education
[IEEE] 2026-3-30 | Modeling Motivation Drift in Senior High School Students During Oral Communication Practice: Performance Evaluation of a Hidden Markov Model
[IEEE] 2026-3-30 | An Overview of Blockchain Applications in Secure Voting Systems
[IEEE] 2026-3-30 | Deep Learning Architectures for Liver Segmentation: A Comparative Evaluation on the Duke Dataset
[IEEE] 2026-3-30 | Designing and Analyzing Multi-Layered Security Model for Ransomware-Resilient Cloud Services
