[2026-04-13 22:43:18] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-04-12
正在获取论文...
[ACM] 2026-4-13 | Session Summary Podcast: Session 104: HCAI and Collaboration
[ACM] 2026-4-13 | Session Summary Podcast: Session 27: Alternative Perspectives
[ACM] 2026-4-13 | Bondi: Designing Tangible and Multimodal Interfaces for Continuing Bonds in Pet Bereavement
[ACM] 2026-4-13 | Session Summary Podcast: Session 159: Non-visual and conversational experiences
[ACM] 2026-4-13 | Continuous Measurement Methods for Transient Physiological Discomfort in VR Locomotion
[ACM] 2026-4-13 | Scaffolding Metacognition with GenAI: Exploring Design Opportunities to Support Task Management for University Students with ADHD
[ACM] 2026-4-13 | Are Semantic Networks Associated with Idea Originality in Artificial Creativity? A Comparison with Human Agents
[ACM] 2026-4-13 | Forage: Understanding LLM-facilitated sensemaking of conversation data
[ACM] 2026-4-13 | Session Summary Podcast: Session 130: LLM Interaction &amp; Conversational Agents
[ACM] 2026-4-13 | Computer Science Achievement and Writing Skills Predict Vibe Coding Proficiency
[ACM] 2026-4-13 | Modeling Sequential Design Actions as Designer Externalization on an Infinite Canvas
[ACM] 2026-4-13 | Sona: Towards Context-Aware, Real-Time Personalization of Acoustic Environments for Noise Sensitivity
[ACM] 2026-4-13 | Agent A/B: Automated and Scalable A/B Testing on Live Websites with Interactive LLM Agents
[ACM] 2026-4-13 | Alignment–Process–Outcome: Rethinking How AIs and Humans Collaborate
[ACM] 2026-4-13 | Session Summary Podcast: Session 121: Immersive Play and Spatial Computing
[ACM] 2026-4-13 | iRULER: Intelligible Rubric-Based User-Defined LLM Evaluation for Revision
[ACM] 2026-4-13 | Silence is a Feature, Not a Bug: A Deaf Developer’s Autoethnography on Agency and Local AI
[ACM] 2026-4-13 | Speaker-Aware Affective Captioning for Multi-Speaker STEM Talk in Inclusive Classrooms
[ACM] 2026-4-13 | Who Owns the Worm? Authorship Collapse in Viral Digital Models
[ACM] 2026-4-13 | Framing the Crowd: How Task Design Shapes Collective Expectation in Crowdsourcing Pedestrian Behavior Change
[ACM] 2026-4-13 | Seen but Ignored: Understanding User Disengagement from Emergency Alerts in High-Frequency Contexts — A Case Study of South Korea
[ACM] 2026-4-13 | Effects of Small Latency Variations in 2D Target Selection Tasks
[ACM] 2026-4-13 | Chewing It Over: Revealing Tensions And New Directions For More-Than-Human Relational Ethics Through Speculative Design
[ACM] 2026-4-13 | Session Summary Podcast: Session 57: Critical Reflections on AI
[ACM] 2026-4-13 | Session Summary Podcast: Session 50: Consent, Risk, and Everyday Ethics
[ACM] 2026-4-13 | ReVisor: A Reflective Design Tool for Instructional Designers to Improve Teacher Training Materials via AI Discussions
[ACM] 2026-4-13 | From Selfie Stick to Virtual Cane: Enabling Blind Exploration through Mobile Virtual Reality
[ACM] 2026-4-13 | Simulating Human Audiovisual Search Behavior
[ACM] 2026-4-13 | Session Summary Podcast: Session 189: Security Operations and Governance
[ACM] 2026-4-13 | Thing Ethnography in a Factory: Exploring Emergent and Dynamic Relations of Cobots and Workers
[ACM] 2026-4-13 | "I Wouldn't Really Use It as a Practice Tool": Understanding Medical Students’ Perspectives and Needs on LLM-Enhanced Clinical Skills Training
[ACM] 2026-4-13 | The More-than-Human Talking Stick: Design Principles for Multispecies Entanglement and Agency
[ACM] 2026-4-13 | Prompting Destiny: Negotiating Socialization and Growth in an LLM-Mediated Speculative Gameworld
[ACM] 2026-4-13 | Auditing Algorithmic Visibility on X: Evidence from Shadowban Detection
[ACM] 2026-4-13 | Challenges in Automatic Speech Recognition for Adults with Cognitive Impairment
[ACM] 2026-4-13 | Exploring Collaboration Breakdowns Between Provider Teams and Patients in Post-Surgery Care
[ACM] 2026-4-13 | Does Sycophancy Change Decisions? Effect of LLM Sycophancy on AI-Assisted Decision-Making
[ACM] 2026-4-13 | Queering Character Creation: Player Perspectives on Choosing Characters' Gender and Sexual Orientation in Role-Playing Games
[ACM] 2026-4-13 | Breakdowns in Conversational AI: Interactional Failures in Emotionally and Ethically Sensitive Contexts
[ACM] 2026-4-13 | Exploring and Probing the Algorithmic Gaze on Bodies and Well-being
[ACM] 2026-4-13 | Understanding the Dynamics of Trust in Location-Based Games as Hybrid Spaces: The Players' Perspective
