[2026-04-21 22:38:13] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-04-20
正在获取论文...
[arXiv] 2026-04-20 | Dust characterization of halos -- The extended emission in protoplanetary disks
[arXiv] 2026-04-20 | Toward Zero-Egress Psychiatric AI: On-Device LLM Deployment for Privacy-Preserving Mental Health Decision Support
[arXiv] 2026-04-20 | An Existence Proof for Neural Language Models That Can Explain Garden-Path Effects via Surprisal
[arXiv] 2026-04-20 | EQE-QAOA: An Equivalence-Preserving Qubit Efficient Framework for Combinatorial Optimization
[arXiv] 2026-04-20 | Two Potential Exoplanets around A-type Stars Selected from 18 Planetary Candidates
[arXiv] 2026-04-20 | Dissipative Latent Residual Physics-Informed Neural Networks for Modeling and Identification of Electromechanical Systems
[arXiv] 2026-04-20 | LiquidTAD: An Efficient Method for Temporal Action Detection via Liquid Neural Dynamics
[arXiv] 2026-04-20 | Gamma-Based Expansion for the First-Passage Time Distribution of Stochastic Logistic Models with Harvesting
[arXiv] 2026-04-20 | Impact of Cold Jupiter Scattering on the Mean-Motion Resonance of Inner Small Planets
[arXiv] 2026-04-20 | Beyond Pattern Matching: Seven Cross-Domain Techniques for Prompt Injection Detection
[arXiv] 2026-04-20 | Holographic dark energy as a source for slowly rotating wormholes: Implications for null geodesics and shadows
[arXiv] 2026-04-20 | Horospherical Depth and Busemann Median on Hadamard Manifolds
[arXiv] 2026-04-20 | A Rademacher exact type formula for pod$_2(n)$
[arXiv] 2026-04-20 | Evaluating Multi-Hop Reasoning in RAG Systems: A Comparison of LLM-Based Retriever Evaluation Strategies
[arXiv] 2026-04-20 | Towards an Agentic LLM-based Approach to Requirement Formalization from Unstructured Specifications
[arXiv] 2026-04-20 | Instruction-as-State: Environment-Guided and State-Conditioned Semantic Understanding for Embodied Navigation
[arXiv] 2026-04-20 | Galaxy Populations in the IllustrisTNG Caustic Skeleton
[arXiv] 2026-04-20 | A Comparative Evaluation of Geometric Accuracy in NeRF and Gaussian Splatting
[arXiv] 2026-04-20 | Multi-LLM Token Filtering and Routing for Sequential Recommendation
[arXiv] 2026-04-20 | Leading UV divergences of quantum corrections to Kähler superpotential in general $\mathcal{N}=1$ chiral model
[arXiv] 2026-04-20 | Continuous Focus Groups: A Longitudinal Method for Clinical HRI in Autism Care
[arXiv] 2026-04-20 | Attraction, Repulsion, and Friction: Introducing DMF, a Friction-Augmented Drifting Model
[arXiv] 2026-04-20 | Scalable Neighborhood-Based Multi-Agent Actor-Critic
[arXiv] 2026-04-20 | Sexaquarks and $H$ dibaryons in the $uuddss$ system: a comparison within a constituent quark model
[arXiv] 2026-04-20 | Embedding Arithmetic: A Lightweight, Tuning-Free Framework for Post-hoc Bias Mitigation in Text-to-Image Models
[arXiv] 2026-04-20 | VerilogCL: A Contrastive Learning Framework for Robust LLM-Based Verilog Generation
[arXiv] 2026-04-20 | Does "Do Differentiable Simulators Give Better Policy Gradients?'' Give Better Policy Gradients?
[arXiv] 2026-04-20 | FreezeEmpath: Efficient Training for Empathetic Spoken Chatbots with Frozen LLMs
[arXiv] 2026-04-20 | Operators on injective tensor products of L1-preduals
[arXiv] 2026-04-20 | mlr3torch: A Deep Learning Framework in R based on mlr3 and torch
[arXiv] 2026-04-20 | AI-based Waste Mapping for Addressing Climate-Exacerbated Flood Risk
[arXiv] 2026-04-20 | On the relative CNO underabundance in quasar absorption systems at $z \sim 3$ arising from Population III enrichment and attenuation by intermediate-mass black holes and primordial baryon accretion
[arXiv] 2026-04-20 | Distributional Off-Policy Evaluation with Deep Quantile Process Regression
[arXiv] 2026-04-20 | An `Inverse' Experimental Framework to Estimate Market Efficiency
[arXiv] 2026-04-20 | TLoRA: Task-aware Low Rank Adaptation of Large Language Models
[arXiv] 2026-04-20 | Moments at the hard edge and Rayleigh functions
[arXiv] 2026-04-20 | Stability Implies Redundancy: Delta Attention Selective Halting for Efficient Long-Context Prefilling
[arXiv] 2026-04-20 | Macroscopic Optical Nonreciprocity: A Black Hole as an Optical Diode
[arXiv] 2026-04-20 | Solvable Descent and the Grunwald Problem for Solvable Groups
[arXiv] 2026-04-20 | The Collaboration Gap in Human-AI Work
[arXiv] 2026-04-20 | Polarization Engineering of the Orbital Hall Conductivity in Two-dimensional Ferroelectric Higher-Order Topological Insulator Tl$_2$S and SnS
[arXiv] 2026-04-20 | Agentic Forecasting using Sequential Bayesian Updating of Linguistic Beliefs
[arXiv] 2026-04-20 | T-REN: Learning Text-Aligned Region Tokens Improves Dense Vision-Language Alignment and Scalability
[arXiv] 2026-04-20 | Back into Plato's Cave: Examining Cross-modal Representational Convergence at Scale
[arXiv] 2026-04-20 | Pulling back Cartier structures along regular maps
[arXiv] 2026-04-20 | Latent Phase-Shift Rollback: Inference-Time Error Correction via Residual Stream Monitoring and KV-Cache Steering
[arXiv] 2026-04-20 | Counterexamples for lacunary dilates via dyadic spike blocks
[arXiv] 2026-04-20 | Symbolic Synthesis for LTLf+ Obligations
[arXiv] 2026-04-20 | HybridGen: Efficient LLM Generative Inference via CPU-GPU Hybrid Computing
[arXiv] 2026-04-20 | JAI functional contractions in relational metric spaces
[arXiv] 2026-04-20 | Scaling of Quantum Resources for Simulating a Long-Range System
[arXiv] 2026-04-20 | OneVL: One-Step Latent Reasoning and Planning with Vision-Language Explanation
[arXiv] 2026-04-20 | Warm-Start Quantum Approximate Optimization Algorithm for QAM MIMO Data Detection
[arXiv] 2026-04-20 | Linear-wave bound on electromagnetic energy equipartition at sub-electron scales in non-relativistic plasmas
[arXiv] 2026-04-20 | A Generalized Synthetic Control Method for Baseline Estimation in Demand Response Services
[arXiv] 2026-04-20 | An Integrated Deep-Learning Framework for Peptide-Protein Interaction Prediction and Target-Conditioned Peptide Generation with ConGA-PePPI and TC-PepGen
