[2026-05-12 23:02:00] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-05-11
正在获取论文...
arXiv 请求失败: HTTPSConnectionPool(host='export.arxiv.org', port=443): Max retries exceeded with url: /api/query?search_query=lastUpdatedDate%3A%5B202605110000+TO+202605112359%5D&sortBy=relevance&sortOrder=descending&max_results=1000 (Caused by ReadTimeoutError("HTTPSConnectionPool(host='export.arxiv.org', port=443): Read timed out. (read timeout=20)"))
[IEEE] 2026-5-11 | IEEE Magnetics Society Information
[IEEE] 2026-5-11 | Cover 4
[IEEE] 2026-5-11 | Graph Rotation Network: Equivariant Graph Neural Network for Efficient Inverse Design in 4-D Printing_supp1-3679129.pdf
[IEEE] 2026-5-11 | Advertisers Index
[IEEE] 2026-5-11 | ComSoc Technical Committees
[IEEE] 2026-5-11 | Predicting Memory Footprint and Selectivity for Query Processing: A Micro Model Approach
[ACM] 2026-5-11 | Teachers' Behavioral Intentions to Use Artificial Intelligence in Education: A Cross-Country Study
[ACM] 2026-5-11 | Understanding AI Adoption in Literature Learning: An Extended UTAUT-TAM Approach among Multimedia Arts Students
[ACM] 2026-5-11 | Mitigating Implicit Bias in Chinese Toxic Speech Detection via Unbiased Contrastive Learning
[ACM] 2026-5-12 | DPU-Net for Privacy-Preserving Speech Enhancement: Dual-Path Modeling With Cross-Attention
[ACM] 2026-5-12 | Invasive Liver Cancer Recognition via Adaptive Transfer Learning
[ACM] 2026-5-12 | Time-Course Effect of Simulated Microgravity on Cognition and Neurovascular Changes in Elderly Mice
[ACM] 2026-5-12 | Explainable AI-Assisted Triage in Emergency Departments Using Multi-Modal Clinical Data
[ACM] 2026-5-12 | Design and Implementation of An Educational Institution Curriculum Management System Based on Django
[IEEE] 2026-5-11 | Design and Evaluation of AI-Based Energy-Efficient Load Balancing Algorithm in Cloud Data Centers
[IEEE] 2026-5-11 | Intelligent Selection System for Bad Soil Geological Treatment Solutions Based on Deep Learning
[IEEE] 2026-5-11 | LGDTI-Net A Lesion-Aware Dynamic Transformer Framework for Precise Small Kidney Lesion Segmentation in Multi-Centre Medical Imaging
[IEEE] 2026-5-11 | Fusion of EfficientNetB0 and ResNet50 for Enhanced Deepfake Video Detection
