[2026-05-28 23:16:49] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-05-27
正在获取论文...
[arXiv] 2026-05-27 | Examining Agents' Bias Amplification versus Suppression in Multi-Agent Systems
[arXiv] 2026-05-27 | ICAN-Deploy: Identity-Stable Canary Deployment for Safety-Critical Embodied Agents
[arXiv] 2026-05-27 | Scalar absorption beyond geometric optics in Klein-Gordon-separable Johannsen black hole spacetimes
[arXiv] 2026-05-27 | Qwen-Image-Bench: From Generation to Creation in Text-to-Image Evaluation
[arXiv] 2026-05-27 | Two-disjoint-cycle-cover vertex pancyclicity of split-star networks
[arXiv] 2026-05-27 | Improvement of a Hardy-Littlewood inequality and applications to the boundedness of analytic paraproducts on mixed norm spaces
[arXiv] 2026-05-27 | SilentRetrieval: Hijacking Retrieval-Augmented Generation via Semantically-Preserving Adversarial Data Poisoning
[arXiv] 2026-05-27 | AgentGuard: An Attribute-Based Access Control Framework for Tool-Use LLM-Based Agent
[arXiv] 2026-05-27 | PromptEmbedder:: Efficient and Transferable Text Embedding via Dual-LLM Soft Prompting
[arXiv] 2026-05-27 | Hadwiger's Conjecture for $\{\text{co-claw}, \text{co-gem}\}$-free graphs and $\{\text{fork}, \text{antifork}\}$-free graphs
[arXiv] 2026-05-27 | Molecular Similarity and Water Diversity in Coeval Binary Disks: JWST/MIRI Observations of Sz 65 and Sz 66
[arXiv] 2026-05-27 | VCap: Hypergeometric Rewards for Weak-to-Strong Visual Captioning
[arXiv] 2026-05-27 | Tensor molecule $J/ψJ/ψ$: A candidate to the resonance $X(6200) $
[arXiv] 2026-05-27 | Automated Estimation of Impact Time, Impact Location, and Shuttlecock Speed in Badminton Smashes Using Event Cameras
[arXiv] 2026-05-27 | Patched-DeltaNet: Token-Level Event-Driven Memory for Linear-Time Anomaly Detection
[arXiv] 2026-05-27 | Deep Neural Network Training as Random Effects: An Optimization-Inference Duality
[arXiv] 2026-05-27 | Online Sketched Newton-Raphson
[arXiv] 2026-05-27 | Direction-selective intertwined charge, orbital, and lattice orders under uniaxial strain in hole-doped manganite: La0.75Ca0.25MnO3
[arXiv] 2026-05-27 | Continual Learning in Modern Hopfield Networks with an Application to Diffusion Models
[arXiv] 2026-05-27 | Discrete approximation of semi-Dirichlet forms with non-symmetric perturbations of resistance forms
[arXiv] 2026-05-27 | Simultaneous Contact Selection and Planning for Contact-Rich Manipulation with Cascaded Optimization
[arXiv] 2026-05-27 | Throughput-Optimized Networks at Scale
[arXiv] 2026-05-27 | Yaglom limits of continuous-state branching processes in Brownian random environment
[arXiv] 2026-05-27 | Machine learning enables experimental access to photon-by-photon arrival times in scintillation detectors
[arXiv] 2026-05-27 | Do Agents Think Deeper? A Mechanistic Investigation of Layer-Wise Dynamics in Sequential Planning
