[2026-05-29 23:13:09] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-05-28
正在获取论文...
arXiv 请求失败: HTTPSConnectionPool(host='export.arxiv.org', port=443): Max retries exceeded with url: /api/query?search_query=lastUpdatedDate%3A%5B202605280000+TO+202605282359%5D&sortBy=relevance&sortOrder=descending&max_results=1000 (Caused by ResponseError('too many 429 error responses'))
[ACM] 2026-5-28 | LLM-Enabled Participatory Platforms for People-Centric Smart Cities
[ACM] 2026-5-28 | Reasoning in Trees: Improving Retrieval-Augmented Generation for Multi-Hop Question Answering
[ACM] 2026-5-28 | Smart Fast Finish: Preventing Overdelivery via Daily Budget Pacing at DoorDash
[IEEE] 2026-5-28 | Self-Expressive High-Order Tensor Unrolling Network for Unsupervised Hyperspectral and Multispectral Image Fusion_supp1-3695389.pdf
[IEEE] 2026-5-28 | Integrating Automatic Prompt Engineering and Vision-Language Model for Pad Defect Classification
[IEEE] 2026-5-28 | Gate-Level Average Power Estimation from RTL Activity with Graph Neural Network
[IEEE] 2026-5-28 | Enabling Lightweight and Efficient Edge Inference for Identifying Radio Modulation
[ACM] 2026-5-29 | Who You Are is How You Look: Implicit User Identification by Comparing Actual Gaze with Personalized Saliency Maps
[ACM] 2026-5-29 | Gaze Estimation from Optical Path Length using Neural Network Inversion
[IEEE] 2026-5-29 | Passivity-Based Tracking Control of a Planetary Rover with Robotic Arm_supp1-3694402.mp4
[IEEE] 2026-5-28 | Experimental Characterization and Analysis of Magnetic Local Forces in Nonlinear Magnetic Materials
[IEEE] 2026-5-29 | Front Cover
[IEEE] 2026-5-29 | BFRN-IoV: Blockchain and Fog-Enabled Route Navigation for Digital Twin-Based Internet of Vehicles
[IEEE] 2026-5-29 | Opportunistic RIS-Assisted Transmission Scheduling for Multiuser Wireless Network via Binary Linear Programming
[IEEE] 2026-5-28 | A Wide-Gain Isolated Single-Output Bipolar DC–DC Converter With Improved Buck-Boost Operation
[IEEE] 2026-5-29 | Ground-Based GNSS-R Oil Spill Experiments: Methodology and Results
[IEEE] 2026-5-29 | FASENet: A Frequency Aware and Shape Enhanced Deep Network for Mapping Farmland Ditch from High-Resolution Remote Sensing Imagery
[IEEE] 2026-5-28 | Backward-Compatible Tag-Based PHY Authentication for Secure WLAN Sensing
[IEEE] 2026-5-28 | Mechanistic Study on Regulating Aspect Ratio of Silver Lines in Dry Aerosol Jet Printing via Focusing Ratio
[IEEE] 2026-5-29 | Diffusion Graph Transformer for Learning Controllability Robustness in Large-Scale Networks
[IEEE] 2026-5-28 | Rényi Entropy Induced Efficient and Balanced One-Step Multi-View Clustering
[IEEE] 2026-5-28 | Swarm Intelligence Algorithms in Drone Swarm Task Allocation: Comprehensive Survey and Future Directions
[IEEE] 2026-5-29 | High-Efficiency Laser Wireless Power Transfer System with Automatic Tracking for Smart Grids_supp2-3696300.mp4
[IEEE] 2026-5-29 | High-Efficiency Laser Wireless Power Transfer System with Automatic Tracking for Smart Grids_supp1-3696300.mp4
[IEEE] 2026-5-28 | LLM Integration in XR: a survey on architectural frameworks, data processing, optimization and evaluation
[IEEE] 2026-5-29 | Jointly Optimizing Migration and Offloading for Digital Twin-Enabled Internet of Vehicles
[IEEE] 2026-5-28 | ST-CoSense: Spatio-Temporal Cooperative Sensing for Resource-Constrained Urban Applications
[IEEE] 2026-5-29 | Energy-Efficient Task Allocation for Green Aerial Edge Computing Based on Metaverse Users: A Mean Field Game Approach
[IEEE] 2026-5-29 | BIRCH-AE: A Hierarchical Ensemble Framework for Scalable E-Commerce User Segmentation with Autoencoder-Enhanced Feature Learning
[IEEE] 2026-5-28 | An 8-bit 600-MS/s Three-Comparator SAR ADC With MUX-delay Exclusion and LSB Averaging
[IEEE] 2026-5-28 | IEEE Transactions on Transportation Electrification
[IEEE] 2026-5-29 | MARTA: Multi-Person Activity Recognition With mmWave Based on Temporal Attention
[ACM] 2026-5-29 | Cross-Modal Analysis of Typography Effects on Visual Attention based on TVA and Task-Evoked Pupillary Responses (TEPR)
[ACM] 2026-5-29 | BeamFormer: Transformer-based Beam Management for 6G Networks
[ACM] 2026-5-29 | JPEG Column: 109th JPEG Meeting in Nuremberg, Germany
[ACM] 2026-5-29 | In Memoriam: Richard A. Tapia (1939-2026)
[ACM] 2026-5-29 | POMACS V10, N2, June 2026 Editorial
[ACM] 2026-5-29 | CAP: Detecting Network Device Misconfigurations with Context-Aware Prompting of LLMs
[ACM] 2026-5-29 | Can Multipath TCP Congestion Control do better without adhering to its First Design Principle?
[ACM] 2026-5-28 | PLM: Point-Language Maps for Zero-shot Object Goal Navigation
[ACM] 2026-5-28 | Ethical Decision-Making under Moral Uncertainty
[ACM] 2026-5-28 | Multimodal Peer Review Simulation with Actionable To-Do Recommendations for Community-Aware Manuscript Revisions
[ACM] 2026-5-28 | STIndex: A Context-Aware Multi-Dimensional Spatiotemporal Information Extraction System
[ACM] 2026-5-28 | GazeMorph: Reducing Eye-Tracking Measurement Error by Fixation-to-Content Alignment ETRA021
[ACM] 2026-5-28 | Investigating Mutual Gaze in Real-Time LLM-Driven Avatar Interaction on 2D Screens ETRA005
[IEEE] 2026-5-28 | Early Visual Pathway Origins of SSVEP Intermodulation Components Induced by Luminance Flicker_supp1-3697550.pdf
[IEEE] 2026-5-28 | FSMVision: Semantic Extraction of Finite State Machines from Diagrams via Multimodal AI
[IEEE] 2026-5-28 | Design for Manufacturing and Assembly for Heterogeneous Integration Using Micro-Transfer Printing
[IEEE] 2026-5-28 | A 4 Transistor eDRAM-Based Content Addressable Memory
[IEEE] 2026-5-28 | Scalable Security Monitoring on Chiplet-Based Systems
[ACM] 2026-5-29 | As Far as Eye See: Vergence-Pupil Coupling in Near-Far Depth Switching
[IEEE] 2026-5-29 | Implementation of a novel CT approach into a micro-PET scanner
[IEEE] 2026-5-29 | On Enumerating Feasible Permutations for Rank Modulation Codes in DNA storage via Hyperplane Arrangements
[IEEE] 2026-5-28 | A Methodology for Risk Assessment in Low Voltage Distribution Networks: A Real Case Study
[IEEE] 2026-5-29 | Auditing the Invisible: Revolutionizing Anomaly Detection in IoT-Enabled Energy Markets
[IEEE] 2026-5-28 | 3-D Transient Modeling and Simulation of Coupled Vacuum Arc and Anode Molten Pool Deformation Under CuCr Alloy Contacts
[IEEE] 2026-5-29 | Space Networks as a Service: A Plug and Play Approach
[IEEE] 2026-5-29 | Space Datacenters
[IEEE] 2026-5-29 | Megatrends
[IEEE] 2026-5-29 | Optimizing Heat-Assisted Magnetic Recording Plasmonic Structures via Deep Generative Models
[IEEE] 2026-5-29 | Low-Earth Orbit Satellite Network Analysis with Random LOS and NLOS Channels
[IEEE] 2026-5-29 | Efficient and Reliable Index Modulation OTFS Framework for THz-ISAC Systems
[IEEE] 2026-5-29 | EVDI++: Event-based Video Deblurring and Interpolation via Self-Supervised Learning
[IEEE] 2026-5-29 | Optimized Real-Time Current Commutation Method for Concentric Winding Moving-Coil Maglev Planar Motor Based on Improved Active Set Algorithm
[IEEE] 2026-5-29 | Nezha-FX: A Morphing HAUV Designed Based on Balanced Cross-Domain Performance Optimization_supp1-3691061.mp4
[IEEE] 2026-5-28 | OceanGraph: Adaptive Mesh-Grid Coupling for Multiscale Ocean State Prediction
[IEEE] 2026-5-28 | Building Information Modeling-Grounded Embodied Social Perception for Infrastructure Intelligent Transportation Systems
[IEEE] 2026-5-28 | Bridging the Gap Between Simulation and Reality for Ultra-Reliable Communications
[IEEE] 2026-5-29 | Glaucoma Diagnosis and Progression Prediction Based on Deep Multimodal Fusion and Collaborative Attention Mechanism
[IEEE] 2026-5-29 | Research on the Diagnosis and Localization Method of Cross-Bonding Cable Defects Based on Three-Phase Differential Frequency Excitation
[IEEE] 2026-5-29 | A Long-Range Detection Method for Blueberries Based on an Improved YOLOv11n Model
[IEEE] 2026-5-28 | Explainable Ensemble of Deep learning Models for improved and interpretable Product Backorder Prediction
[IEEE] 2026-5-28 | Computationally Efficient Battery Modeling and Fast Charging Strategies for Fuel Cell-Battery Hybrid Application
[IEEE] 2026-5-29 | Complementary Grid Forming: Inertia Gathered from Constrained Resources
[IEEE] 2026-5-29 | Machine Learning-Assisted Electro-Thermal Co-Optimization Framework for PDN in 3-D Integrated Microsystem With Embedded Microchannel Heatsink
[IEEE] 2026-5-29 | Nonlinear Optimal Control Beyond the Hamilton-Jacobi-Bellman Equation
[IEEE] 2026-5-29 | Thermal Aging Mechanisms and Dielectric Properties of Epoxy Resin Impregnated Bamboo Paper Composites
[IEEE] 2026-5-29 | Toughening Epoxy Resin for Low-Temperature Electrical Insulation in High Voltage Equipment
[ACM] 2026-5-29 | Expecting the unexpected: Eye-tracking surprisal and entropy in L1 and L2
[ACM] 2026-5-29 | Gaze-Based Automatic Scrolling for Readers Using Screen Magnification
[ACM] 2026-5-29 | Constructing Machine Learning Features from Eye Movement Metrics: Feature Engineering Techniques for HCI Research
[ACM] 2026-5-29 | Temporal Changes in Oculomotor Workload Metrics during the Oral Reading of Character Strings
[ACM] 2026-5-29 | The Challenges of Eye-Tracking Visualization in Multi-User Collaboration
[ACM] 2026-5-28 | GreenWebInspector: A Tool for Real-Time Web Energy Efficiency Assessment
[ACM] 2026-5-28 | RobustReviewAI: A Robustness Evaluation System for AI-Powered Peer Review
[ACM] 2026-5-28 | AiOfAi: 4th Workshop on Adverse Impacts and Collateral Effects of Artificial Intelligence Technologies
[ACM] 2026-5-28 | LLMs as Orchestrators: Constraint-Compliant Multi-Agent Optimization for Recommendation Systems
[ACM] 2026-5-28 | 6th International Workshop on Computational Methods for Online Discourse Analysis (BeyondFacts'26)
[ACM] 2026-5-28 | Evidential Mixture-of-Experts for Sentiment Regression
[ACM] 2026-5-28 | PAC to the Future: Zero-Knowledge Proofs of PAC Private Systems
[ACM] 2026-5-28 | Privacy-Aware Machine Unlearning with SISA for Reinforcement Learning–Based Ransomware Detection
[ACM] 2026-5-28 | <scp>NgCaptcha</scp>
                    : A CAPTCHA Bridging the Past and the Future
[ACM] 2026-5-28 | ToxiTwitch: Toward Emote-Aware Hybrid Moderation for Live Streaming Platforms
[IEEE] 2026-5-28 | Handle-based Mesh Deformation Guided By Vision Language Model_supp1-3695016.pdf
[IEEE] 2026-5-28 | ISQED 2026 Best Papers
[ACM] 2026-5-28 | The impact of subtitle speed and number of lines on saccadic latency: An eye-tracking study ETRA025
[ACM] 2026-5-28 | AI Error Difficulty Modulates the Effectiveness of Explainability in Decision Support Systems
[IEEE] 2026-5-28 | Sparsity Aware Pre-processing for Systolic Array Dataflow Acceleration
[IEEE] 2026-5-28 | Active Interposers for High Bandwidth Memory
[IEEE] 2026-5-28 | A Rapid Pipeline for Training and Deploying ML Models on WeBe Band
[IEEE] 2026-5-28 | Multi-Level Cell Memory Driven Efficient Cache Organization
[IEEE] 2026-5-28 | Hybrid GCN-CNN Framework for Fast Timing-Driven Layer Assignment in Global Routing
[IEEE] 2026-5-28 | S-OPTQ: Rapid Quantization for Spiking Vision Transformers
[ACM] 2026-5-29 | Reliable Metal Foreign Object Detection for Mobile Wireless Charging via Harmonic Fingerprinting
[ACM] 2026-5-29 | WheatScout: A Handheld Analyzer for Pre-Harvest Wheat Protein and Moisture Monitoring
[IEEE] 2026-5-29 | Long-horizon prediction of who quits : League of Legends as a case study
[IEEE] 2026-5-29 | IEEE Transactions on Circuits and Systems for Artificial Intelligence Publication Information
[IEEE] 2026-5-29 | HANeRV: Hierarchically Adaptive Neural Representation for Video Compression
[IEEE] 2026-5-28 | ComSoc Technical and Emerging Technologies Committees
