[2026-06-15 23:45:34] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-06-14
正在获取论文...
[ACM] 2026-6-14 | Unified Detection of Synthetic and Manipulated Images via Dual-Stream Artifact Fusion
[ACM] 2026-6-15 | Robustness Limits of Claim-Only Fact Verification: A Controlled Comparison of Classical, Neural, and Transformer Models
[ACM] 2026-6-15 | PDC Place: A Collective Envisioning of the Next Chapter of Community-Based Research in Central Kentucky. We Are the Change We Have Been Waiting for in Kentucky
[ACM] 2026-6-15 | Agent-as-an-Asset: A Virtual Marketplace on Blockchain for Distributed Agentic Workflows
[ACM] 2026-6-15 | A Pruning-based Question-Answering for Interactive Video Search: A Simple Baseline
[ACM] 2026-6-15 | CurvedTouch: Effects of Surface Curvature and Cursor Mapping Method for XR Touch Input on Curved Surface
[ACM] 2026-6-15 | CB-CV: A Cluster-Based Cross-Validation Benchmark for Multimodal Video Out-of-Distribution Detection
[ACM] 2026-6-15 | LTA-Gait: In-Network Temporal Activation of Large Vision Models for Gait Recognition
[ACM] 2026-6-15 | RFHNet: Relational and Frequency-Aware Hashing Network for Large-Scale Fine-Grained Food Image Retrieval
[ACM] 2026-6-15 | TG-MUNet: A Lightweight Text-Guided Mamba Unet for Semi-Supervised Medical Image Segmentation
[ACM] 2026-6-15 | CCRA: A Cross-modal Complementary Representation Alignment Framework for Bridging the Modality Gap
[ACM] 2026-6-15 | Multi-Scale Perception and Channel-Gated Fusion Network for Aerial Image Detection
[ACM] 2026-6-15 | HSAMoE: Hemiparetic-Side-Aware Mixture of Experts for EEG-Based Motor Imagery Classification in Stroke Patients
[ACM] 2026-6-15 | Relational Retrieval: Leveraging Known-Novel Interactions for Generalized Category Discovery
[ACM] 2026-6-15 | NeRAG: Neuro-Explicit Retrieval-Augmented Generation for Real-Time Interaction in Digital Humans
[ACM] 2026-6-15 | Beyond Optical Flow: Latent Micro-Motion as Visual Evidence in UAV Video
[ACM] 2026-6-15 | Benchmarking MLLM-based Web Understanding: Reasoning, Robustness and Safety
[IEEE] 2026-6-15 | 2026 Permanent Magnet Supply Chain Update From Permag
[IEEE] 2026-6-15 | Development of High-Power Ku Band Transmitter for Mobile Troposcatter System
[IEEE] 2026-6-15 | Asymptotic Full Actuation Control for Rail-Less Electric Bus Trains
[IEEE] 2026-6-15 | Dielectric-Loaded Miniaturized EBG Structure with Enhanced High-Voltage Endurance
[IEEE] 2026-6-15 | Distributed Adaptive Containment Control of High-Order Fully Actuated Multiagent Systems with Actuator Attacks
[IEEE] 2026-6-15 | Using TFE-Based MGAWE Method for Traveling-Wave Tube With input/output Structure
[IEEE] 2026-6-15 | VKS-8250A Klystron Upgrade for TRADEX for Improved Power Output, Bandwidth, and Reliability
[IEEE] 2026-6-15 | Trajectory Tracking of Glide-Phase Hypersonic Vehicles Via Nonsingular Fast Terminal Sliding Mode Control with HSMO-DO Under Multi-Source Disturbances
[IEEE] 2026-6-15 | Path Following of Quadrotor UAVs Based on High-Order Fully Actuated System Approach
[IEEE] 2026-6-15 | Advancing Smart City Transformation: Using Connected and Intelligent Vehicular Systems as Resources
[IEEE] 2026-6-15 | IVEC 2026 TOC
[IEEE] 2026-6-15 | ACL-SSA Optimized Particle Filtering for UWB/LiDAR Fusion-Based Indoor Localization Under NLOS Conditions
[IEEE] 2026-6-15 | Output Feedback Control of Discrete-Time Nonlinear High-Order Fully-Actuated Systems with Input and Output Delays
[IEEE] 2026-6-15 | Fully-Actuated Inverse Reinforcement Learning Control for Satellite Formation
[IEEE] 2026-6-15 | Trajectory Tracking of Robotic Manipulators Via a Fully-Actuated System Combined with Control Barrier Functions Strategy
[IEEE] 2026-6-15 | Rotation of uniaxial magnetic anisotropy induced by interface roughness in polycrystalline Co/Ru/Co multilayers
[IEEE] 2026-6-15 | Compress Magnetic Sensing for ITSC Fault Diagnosis of Induction Motor by Reinforcement Learning and Reduced Order Modeling
[IEEE] 2026-6-15 | Fault-Tolerant Control of Nonlinear Robotic Manipulators Based on Fully Actuated System Approach
[IEEE] 2026-6-15 | Deep Reinforcement Learning for Adaptive Power Allocation in ISAC Systems With Mobile Target
[IEEE] 2026-6-15 | Efficient UV-A MSM Photodetector with High Performance Based on a ZnS Nanowire
[IEEE] 2026-6-15 | Tractable Approximation of Labeled Multi-Object Posterior Densities_supp1-3702946.pdf
[IEEE] 2026-6-15 | Photonics-based Broadband MIMO Radar with Segmented Digital Beamforming Enabling Beam Squint-Free Fast Imaging
[IEEE] 2026-6-15 | Wearable Sensor-Based Knee Joint Angle Estimation: Modalities, Modeling, and Applications
[IEEE] 2026-6-15 | Event-Triggered Control for Safety-Critical Buck DC–DC Converters Using Robust Barrier Lyapunov Functions
[IEEE] 2026-6-15 | Evaluation of Feature Selection Techniques for LSTM- and GRU-Based Lower Limb Joint Angle Prediction Using Multimodal Biomechanical Data
[IEEE] 2026-6-15 | Integrated by Design: A Hybrid Robotic Palm Fusing a Functionally-Dense Compliant Matrix with an Actuated Skeleton
[IEEE] 2026-6-15 | SleepXNet: DeepSeek-Guided Hybrid Transformer Model for Clinically Interpretable EEG-Based Sleep Stage Classification_supp1-3692556.pdf
[IEEE] 2026-6-15 | Fission: A Unified FHE Accelerator Supporting Variable Bit-Widths
[IEEE] 2026-6-15 | Enjoying What You are Reading?
[IEEE] 2026-6-15 | Octopus-Inspired Embodied Tactile Intelligence: A Universally Calibrated Miniature Vision-Based Suction Cup_supp7-3694100.mp4
[IEEE] 2026-6-15 | Octopus-Inspired Embodied Tactile Intelligence: A Universally Calibrated Miniature Vision-Based Suction Cup_supp8-3694100.mp4
[IEEE] 2026-6-15 | Adaptive DBSCAN-Enhanced Oversampling for Imbalanced Network Intrusion Detection: A Boundary-Aware Approach
[IEEE] 2026-6-15 | ML-Enabled Dynamic Duplexing for Diverse Traffic Scenarios: A Deep Reinforcement Learning Approach
[ACM] 2026-6-15 | Visiting De Pastorie
[ACM] 2026-6-15 | Digital Transformation Maturity Model for Higher Education Institutions: A Qualitative Analysis of Assessment Frameworks
[ACM] 2026-6-15 | Safe Space beyond Body: A Situated Action of Co-Creative Choreography through Drawing
[ACM] 2026-6-15 | Virtue-Based Thai Folktale Recommendation with Ensemble LLMs
[ACM] 2026-6-15 | A comparison of local LLMs in paragraph decomposition context
[ACM] 2026-6-15 | VAR-3D: View-aware Auto-Regressive Model for Text-to-3D Generation via a 3D Tokenizer
[ACM] 2026-6-15 | MultiSoundGen: Video-to-Audio Generation for Multi-Event Scenarios via SlowFast Contrastive Audio-Visual Pretraining and Direct Preference Optimization
[ACM] 2026-6-15 | Real-Time Retrieval-Free Camera Pose Estimation via Sparse Cross-Modal 2D–3D Matching with Projection-Guided Refinement
[ACM] 2026-6-15 | GMAE: Gated Multi-signal Adaptive Ensemble for Targeted Transfer Attacks on Commercial Large Vision-Language Models
[ACM] 2026-6-15 | Sparse Implicit Connectivity Graphs with Scheduled Emotion History Sampling for Multimodal Emotion Recognition in Conversation
[ACM] 2026-6-15 | LDCS-Net: Local Dual-Context Attention Network for 3D Semantic Segmentation
[ACM] 2026-6-15 | TrackNetV6: A Unified Framework for Lightweight and Robust Fast-Moving Tiny Ball Tracking
[ACM] 2026-6-15 | RF-HeartSSL: Self-Supervised Learning for RF-Based Cardiac Sensing
[ACM] 2026-6-15 | PIGDAssess: Wearable Dual-Task Sensing for Self-Administered PIGD Assessment in Parkinson's Disease
[IEEE] 2026-6-15 | Spatial Phase Compensation Based on 3D Spherical Wavefront Equivalence and Its Application Expansion in Spatial Curved Surfaces
[IEEE] 2026-6-15 | Benefiting From OOD Samples in Open-Set Semi-Supervised Object Detection
[IEEE] 2026-6-15 | Table of Contents
[IEEE] 2026-6-15 | Hierarchical Progressive Transform with Learnable Prior for Hyperspectral Image Super-Resolution
[IEEE] 2026-6-15 | Detection of Submerged Heritage: Application of an Unmanned Surface Vehicle Equipped with a High-Resolution Multibeam Echosounder
[IEEE] 2026-6-15 | Implementation of Digital Twin for Optical Mesh Networks: Field Demonstration and Case Studies
[IEEE] 2026-6-15 | Finite-iteration Tracking for Discrete-time Linear High-order Fully Actuated Systems
[IEEE] 2026-6-15 | Imitation Learning for Continuous Layered Ditch Excavation Trajectory Planning Based on DMP
[IEEE] 2026-6-15 | MNCS Lab: A Mobile-Enabled Remote Laboratory Platform with Easy Integration of Control Experiment Units
[IEEE] 2026-6-15 | A Multimodal Brain Tumor Segmentation Method Based on Multiscale Feature Enhancement and Saliency Modeling
[IEEE] 2026-6-15 | Dynamic Training Strategies for Domain Generalization in Self-Supervised Anomaly Sound Detection
[IEEE] 2026-6-15 | Cumulative Damage Simulation and Self-learning Response Surface-Based Non-intrusive Online Monitoring of Random Wear Degradation for Shaft Products
[IEEE] 2026-6-15 | Disturbance Interval Observer-Based Flight Control for Unmanned Helicopter Using Fully Actuated System Approach
[IEEE] 2026-6-15 | Engineering Students’ Critical Engagement With ChatGPT: Effects of Output Accuracy on Answers and Confidence in a Real-World Probability Context
[IEEE] 2026-6-15 | Takeover Response Time Prediction Model Based on Observable Behavior
[IEEE] 2026-6-15 | New Theory of Emission for Scandate Cathodes
[IEEE] 2026-6-15 | Sliding Mode Fault-Tolerant Control for Nonlinear Fully Actuated Systems with Mismatched Disturbances
[IEEE] 2026-6-15 | Design and Research of an Intelligent Package Station Entry Robot System Based on Jetson Orin Nano
[IEEE] 2026-6-15 | Structure-Preserving Virtual-Input ZVD Shaping for Fully Actuated Flexible Spacecraft Attitude Control
[IEEE] 2026-6-15 | Molecular Dynamics Simulations for Benchmarking Electron Emission Theories in Nonplanar Nanoscale Devices
[IEEE] 2026-6-15 | Efficient Design Optimization of a Helix TWT Using Adjoint Equations
[IEEE] 2026-6-15 | Optimal Grid-Tied Charging Station Configuration Considering Representative Traffic Flow
[IEEE] 2026-6-15 | DuCCA: Dual-domain Cross-coupled Coordinate Attention for Reliable Visible Cues in RGB–IR Fusion Detection
[IEEE] 2026-6-15 | Further Results on the Fully Actuated System Approach to Tracking Control of Cart-Pole Pendulum System
[IEEE] 2026-6-15 | A C-Band Parallel Coupled High Gradient Accelerating Structure
[IEEE] 2026-6-15 | Vacuum-Channel Silicon Edge Emitter for Light-Assisted Electron Emission
[IEEE] 2026-6-15 | Spectrum Aware Illumination Estimation Using Multispectral Image_supp2-3701975.pdf
[IEEE] 2026-6-15 | A Multimodal Model for Fault Diagnosis in Induction Motors Using Thermal Images and Large Language Models
[IEEE] 2026-6-15 | Cognitive Spectrum Sharing in Space-Air-Ground Integrated Networks: Optimizing Beamforming and AAV Trajectories with Two-Layer RSMA
[IEEE] 2026-6-15 | Sliding Mode Robust Control of a Novel Tendon-Sheath Driven Knee Exoskeleton Based on Feedforward Compensation
[IEEE] 2026-6-15 | ProtoGEN: A Prototype-Guided Emotion Network for Multimodal Speech Emotion Recognition
[IEEE] 2026-6-15 | W-Diffusion: A Probabilistic Generative Framework for Traffic Forecasting via Shallow Diffusion Mechanism
[IEEE] 2026-6-15 | Discrete Trajectory Tracking Control of Planar Cable-Actuated Platform via Recurrent Neural Network With Disturbance Rejection
[IEEE] 2026-6-15 | PurifyFD: Mining Latent Domains for Trustworthy Single-Domain Fault Diagnosis Under Open-World Shifts_supp1-3696400.pdf
[IEEE] 2026-6-15 | One to Rule Them All: Reinforcement Learning Policy Selection with Closed-Loop Sensitivity_supp1-3703237.mp4
[IEEE] 2026-6-15 | Physics-Informed Optimal Placement of Receivers for Indoor Localization via IQ Snapshots
[IEEE] 2026-6-15 | Continuous Super-Resolution of Copernicus Atmosphere Images Using a Graph-Based Diffusion Model
[ACM] 2026-6-15 | YOLO Based IoT Tracking for Academic Labs on Raspberry Pi
[ACM] 2026-6-15 | Organizational Support as a Mediator: Understanding Security Behavior Toward Network-Connected Printers in the Workplace
[ACM] 2026-6-15 | Challenging Extractive Participation: Spatiality, Power, and Lessons from PDC Places
[ACM] 2026-6-15 | ICSGDiff: A Multimodal Structure-Aware Diffusion Network for Restoring Ancient Bamboo Slips
[ACM] 2026-6-15 | Anatomic-Decoupling Adaptation: A Unified Framework for Zero/Few-Shot Medical Anomaly Detection
[ACM] 2026-6-15 | Fairness in Information Retrieval: An Economic Perspective
[ACM] 2026-6-15 | Teaching Audio-Language Models to Reason over Time
[ACM] 2026-6-15 | From Physics to Representation: Audio Learning with Synthetic Pre-training via Procedural Generation
