[2026-06-20 23:09:06] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-06-19
正在获取论文...
[IEEE] 2026-6-19 | Voltage Channel: Exploiting GPU Voltage Noise for Covert and Side Channel Attacks
[IEEE] 2026-6-19 | Fixed-Time Inverse Reinforcement Learning Based Human–Machine Autonomous Game Control
[IEEE] 2026-6-19 | High Performance Broadband Photodetector Based on a p-Borophene/n-MoS&amp;#x2082; Heterojunction_supp1-3705061.pdf
[IEEE] 2026-6-19 | PalmIR: Blind Palmprint Image Restoration with Palm-oriented Mixture-of-Experts and Downstream Alignment for Robust Identification
[IEEE] 2026-6-19 | Embodied Safety Control for Flapping-Wing Robotic Aircraft Systems Under Dynamic Event-Triggered Mechanism
[IEEE] 2026-6-19 | A Multimodal Gas-and-Vision Sensor System with Machine Learning for Early Food Spoilage Detection and Ventilation-Based Mitigation
[IEEE] 2026-6-19 | KLI-Fusion: Tightly-coupled Kinematic-LiDAR-Inertial Odometry with Contact Foot Position Enhancement for Point-foot Biped Robots_supp2-3701770.mp4
[IEEE] 2026-6-19 | Localization Techniques for Intelligent Vehicles based on Multi-Sensor Fusion: A Review
[IEEE] 2026-6-19 | Sensitivity Analysis and Detuned Design of LCC-LCC Network for Inductive Power Transfer System with Wide Coupling Variation
[IEEE] 2026-6-19 | <i>Perspicio</i>
                    : Safeguarding Against Non-consensual Photo Sharing over Social Networks
[IEEE] 2026-6-19 | Easy3D-Labels: Supervising Semantic Occupancy Estimation with 3D Pseudo-Labels for Automotive Perception
[IEEE] 2026-6-19 | Counterfactual Modeling with Fine-Tuned LLMs for Health Intervention Design and Sensor Data Augmentation_supp1-3697994.pdf
[IEEE] 2026-6-19 | Feedback-Loop Pulsed Eddy Current Testing with Adaptive Excitation for Corrosion Detection
[IEEE] 2026-6-19 | Structure-Consistent Complex-Representation Graph Network for Fast Prediction of Surface Currents and Scattering of 3-D PEC Targets
[ACM] 2026-6-19 | OZZ: Identifying Kernel Out-of-Order Concurrency Bugs with In-Vivo Memory Access Reordering
[ACM] 2026-6-19 | Toward Sustainable Computing with FPGAs and Chiplets
[IEEE] 2026-6-19 | An Intelligent ML-Driven IoT Framework for Real-Time Water Quality Monitoring in Shrimp Aquaculture
[IEEE] 2026-6-19 | Smart Aquaculture: Water Quality Forecasting using a CNN-BILSTM Attention Hybrid Architecture
[IEEE] 2026-6-19 | Adaptive Risk-Constrained Energy Scheduling of Microgrids Under Renewable Uncertainty
[IEEE] 2026-6-19 | Solar Sweepnet Autonomous Road Cleaning Machine
[IEEE] 2026-6-19 | Cyber Physical Fusion Framework for Drift Reduced Indoor Localization
[IEEE] 2026-6-19 | Real-Time Intravenous Infusion Monitoring using a Multi-Sensor IoT Framework
[IEEE] 2026-6-19 | Smart EV Charging Scheduler using Machine Learning
[IEEE] 2026-6-19 | Lung Disease Classification from Chest X-Rays using ConvNeXt with Coordinate Attention on the COVID-19 Radiography Dataset
[IEEE] 2026-6-19 | IEEE Guide for System Commissioning of Medium and Low (750 V to ±50 kV) Voltage Direct Current Distribution Network
[IEEE] 2026-6-19 | Evaluating Classical and Deep Learning Approaches for improving Honeypot-Informed Network Intrusion Detection
[IEEE] 2026-6-19 | An Attentive Multi-Scale Approach for Semantic Segmentation
[IEEE] 2026-6-19 | AI-based Ensemble Model for Real-Time Bus Estimated Time of Arrival Prediction and Urban Transit Optimization
[IEEE] 2026-6-19 | Weighted Ensemble of Deep Architectures for SAR-Based Target Classification
[IEEE] 2026-6-19 | Breaking Down Silos: A Federated Approach to Collaborative Threat Detection Using Privacy-Preserving Machine Learning
[IEEE] 2026-6-19 | CyberKahoot: A Gamified Cybersecurity Awareness Platform For Students
[IEEE] 2026-6-19 | Intelligent Short-Term Load Forecasting for Renewable Power Grids Using Attention-Based Hybrid Deep Learning
[IEEE] 2026-6-19 | SignGPT: Real-Time ASL Keyword Recognition with LLM-Guided Sentence Completion
[IEEE] 2026-6-19 | Path Planning in Dynamic Environments: A Comparison of Algorithms in the RoboCup SSL
                    <sup>*</sup>
[ACM] 2026-6-20 | Trellising as a Design Metaphor to Support Organic Learning Interactions
[ACM] 2026-6-20 | Supporting Parents’ Playfulness With Their Preschool Children Using Generative AI
[ACM] 2026-6-20 | Rhyme Island: A Multi-Sensory Tangible Interface for Young Children's Music Learning
[ACM] 2026-6-20 | STEM Charades: encouraging reflection on the role of gesture in early years science
[ACM] 2026-6-20 | Digital Inequality in the Age of GenAI: How Rural versus Urban Parents Differ in AI Perceptions and Adoption
