[2026-06-21 23:13:33] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-06-20
正在获取论文...
[ACM] 2026-6-20 | Trellising as a Design Metaphor to Support Organic Learning Interactions
[ACM] 2026-6-20 | Digital Inequality in the Age of GenAI: How Rural versus Urban Parents Differ in AI Perceptions and Adoption
[ACM] 2026-6-20 | Rhyme Island: A Multi-Sensory Tangible Interface for Young Children's Music Learning
[ACM] 2026-6-20 | FM4EAD: Towards Training-Free Energy Anomaly Detection with Large Language Models and Time-Series Foundation Models
[ACM] 2026-6-20 | Bayesian Experimental Design-Guided LLM for Active Trainset Selection in Model Fine-Tuning for Energy Prediction
[ACM] 2026-6-20 | Supporting Parents’ Playfulness With Their Preschool Children Using Generative AI
[ACM] 2026-6-20 | STEM Charades: encouraging reflection on the role of gesture in early years science
[ACM] 2026-6-20 | Child-Involved Group Prioritization: Effects of Group Composition on Experience, Participation Level, and Interaction
[ACM] 2026-6-20 | Inside Voice, Outside Voice
[ACM] 2026-6-20 | Navigating the AI Era: A Multi-Step Approach to Family AI Literacy and Mediation for Young Children
[ACM] 2026-6-20 | Engagement Is Not Transfer: A Withdrawal Study of a Consumer Social Robot with Autistic Children at Home
[ACM] 2026-6-20 | ABODES: An Agent-Based Framework for Evaluating Hybrid Work Policies Across Energy and Social Infrastructure
[ACM] 2026-6-20 | Designing Extended Reality (XR) Tools for Autistic Children: A Literature Review
[ACM] 2026-6-20 | Proceedings of the 2026 ACM Sustainability Week
[ACM] 2026-6-20 | From Clicking to Moving: Embodied Micro-Movements as an Interaction Modality for Data Literacy Learning
[ACM] 2026-6-20 | Exploring Student Perspectives on Interacting with Social Robots for Homework
[ACM] 2026-6-20 | “Because It was on the Computer!” Young Children’s Perceived Humanness of Conversational AI
[ACM] 2026-6-20 | Beyond Adoption: Early Insights on Iterative Technology Appropriation in Early Childhood Classrooms
[ACM] 2026-6-20 | Using 3D Printing to Develop Adolescents’ Self-Directed and 21st-Century Skills in Classrooms: Initial Findings from a Pilot Study
[ACM] 2026-6-20 | Social Understanding, Placeness, and Identity Alignment: A Design Framework for Friendship-Supportive Youth Social Media
